frame,timestamp_sec,pixel_height,frame_height,detected
186,7.758,233.3,1080,Yes
187,7.799,134.4,1080,Yes
188,7.841,27.7,1080,Yes
189,7.883,14.6,1080,Yes
190,7.925,2.9,1080,Yes
191,7.966,65.6,1080,Yes
192,8.008,147.2,1080,Yes
193,8.050,243.5,1080,Yes
194,8.091,266.9,1080,Yes
195,8.133,210.1,1080,Yes
196,8.175,47.1,1080,Yes
197,8.217,10.9,1080,Yes
198,8.258,4.6,1080,Yes
199,8.300,84.5,1080,Yes
200,8.342,244.1,1080,Yes
201,8.383,262.0,1080,Yes
202,8.425,272.7,1080,Yes
203,8.467,228.4,1080,Yes
204,8.508,69.8,1080,Yes
205,8.550,3.0,1080,Yes
206,8.592,3.4,1080,Yes
207,8.634,65.5,1080,Yes
208,8.675,68.0,1080,Yes
209,8.717,223.8,1080,Yes
210,8.759,279.5,1080,Yes
211,8.800,208.2,1080,Yes
212,8.842,80.0,1080,Yes
213,8.884,9.9,1080,Yes
214,8.926,18.3,1080,Yes
215,8.967,52.9,1080,Yes
216,9.009,190.1,1080,Yes
217,9.051,230.7,1080,Yes
218,9.092,261.2,1080,Yes
219,9.134,208.5,1080,Yes
220,9.176,68.2,1080,Yes
221,9.218,15.2,1080,Yes
222,9.259,18.3,1080,Yes
223,9.301,30.8,1080,Yes
224,9.343,48.6,1080,Yes
225,9.384,187.1,1080,Yes
226,9.426,256.3,1080,Yes
227,9.468,193.6,1080,Yes
228,9.509,265.2,1080,Yes
229,9.551,15.9,1080,Yes
230,9.593,17.4,1080,Yes
231,9.635,30.2,1080,Yes
232,9.676,105.2,1080,Yes
233,9.718,272.7,1080,Yes
234,9.760,273.5,1080,Yes
235,9.801,214.9,1080,Yes
236,9.843,128.7,1080,Yes
237,9.885,27.2,1080,Yes
238,9.927,3.6,1080,Yes
239,9.968,18.2,1080,Yes
240,10.010,89.7,1080,Yes
241,10.052,175.7,1080,Yes
242,10.093,259.1,1080,Yes
243,10.135,263.5,1080,Yes
244,10.177,205.2,1080,Yes
245,10.219,35.3,1080,Yes
246,10.260,12.5,1080,Yes
247,10.302,30.0,1080,Yes
248,10.344,107.4,1080,Yes
249,10.385,238.9,1080,Yes
250,10.427,261.1,1080,Yes
251,10.469,222.8,1080,Yes
252,10.510,127.8,1080,Yes
253,10.552,20.8,1080,Yes
254,10.594,23.6,1080,Yes
255,10.636,13.6,1080,Yes
256,10.677,58.1,1080,Yes
257,10.719,143.6,1080,Yes
258,10.761,229.8,1080,Yes
259,10.802,263.7,1080,Yes
260,10.844,250.3,1080,Yes
261,10.886,85.4,1080,Yes
262,10.928,2.4,1080,Yes
263,10.969,14.8,1080,Yes
264,11.011,62.3,1080,Yes
265,11.053,178.4,1080,Yes
266,11.094,227.3,1080,Yes
267,11.136,240.9,1080,Yes
268,11.178,211.6,1080,Yes
269,11.220,89.9,1080,Yes
270,11.261,8.7,1080,Yes
271,11.303,5.9,1080,Yes
272,11.345,43.7,1080,Yes
273,11.386,58.3,1080,Yes
274,11.428,207.2,1080,Yes
275,11.470,256.6,1080,Yes
276,11.511,200.9,1080,Yes
277,11.553,117.2,1080,Yes
278,11.595,11.4,1080,Yes
279,11.637,12.6,1080,Yes
280,11.678,33.3,1080,Yes
281,11.720,147.0,1080,Yes
282,11.762,216.7,1080,Yes
283,11.803,256.3,1080,Yes
284,11.845,223.5,1080,Yes
285,11.887,143.6,1080,Yes
286,11.929,40.3,1080,Yes
287,11.970,6.7,1080,Yes
288,12.012,5.4,1080,Yes
289,12.054,72.8,1080,Yes
290,12.095,154.9,1080,Yes
291,12.137,249.3,1080,Yes
292,12.179,270.2,1080,Yes
293,12.221,153.8,1080,Yes
294,12.262,55.6,1080,Yes
295,12.304,25.2,1080,Yes
296,12.346,20.1,1080,Yes
297,12.387,57.6,1080,Yes
298,12.429,168.7,1080,Yes
299,12.471,226.7,1080,Yes
300,12.512,266.6,1080,Yes
301,12.554,201.6,1080,Yes
302,12.596,73.3,1080,Yes
303,12.638,3.1,1080,Yes
304,12.679,14.9,1080,Yes
305,12.721,30.3,1080,Yes
306,12.763,52.6,1080,Yes
307,12.804,186.4,1080,Yes
308,12.846,232.3,1080,Yes
309,12.888,184.5,1080,Yes
310,12.930,107.2,1080,Yes
311,12.971,1.2,1080,Yes
312,13.013,24.3,1080,Yes
313,13.055,26.4,1080,Yes
314,13.096,96.1,1080,Yes
315,13.138,232.7,1080,Yes
316,13.180,264.2,1080,Yes
317,13.222,239.4,1080,Yes
318,13.263,137.9,1080,Yes
319,13.305,29.3,1080,Yes
320,13.347,9.9,1080,Yes
321,13.388,2.5,1080,Yes
322,13.430,68.3,1080,Yes
323,13.472,153.8,1080,Yes
324,13.513,240.7,1080,Yes
325,13.555,268.8,1080,Yes
326,13.597,199.6,1080,Yes
327,13.639,55.7,1080,Yes
328,13.680,7.4,1080,Yes
329,13.722,15.5,1080,Yes
330,13.764,64.1,1080,Yes
331,13.805,187.2,1080,Yes
332,13.847,237.4,1080,Yes
333,13.889,273.4,1080,Yes
334,13.931,216.7,1080,Yes
335,13.972,91.7,1080,Yes
336,14.014,11.7,1080,Yes
337,14.056,8.5,1080,Yes
338,14.097,43.8,1080,Yes
339,14.139,93.3,1080,Yes
340,14.181,200.0,1080,Yes
341,14.223,268.5,1080,Yes
342,14.264,241.0,1080,Yes
343,14.306,121.8,1080,Yes
344,14.348,23.9,1080,Yes
345,14.389,14.9,1080,Yes
346,14.431,23.3,1080,Yes
347,14.473,104.4,1080,Yes
348,14.514,214.7,1080,Yes
349,14.556,260.4,1080,Yes
350,14.598,264.1,1080,Yes
351,14.640,169.6,1080,Yes
352,14.681,60.1,1080,Yes
353,14.723,11.9,1080,Yes
354,14.765,17.0,1080,Yes
355,14.806,87.9,1080,Yes
356,14.848,162.7,1080,Yes
357,14.890,242.6,1080,Yes
358,14.932,271.6,1080,Yes
359,14.973,263.1,1080,Yes
360,15.015,250.8,1080,Yes
361,15.057,10.0,1080,Yes
362,15.098,18.7,1080,Yes
363,15.140,61.1,1080,Yes
364,15.182,194.0,1080,Yes
365,15.224,230.4,1080,Yes
366,15.265,256.9,1080,Yes
367,15.307,200.9,1080,Yes
368,15.349,98.9,1080,Yes
369,15.390,10.6,1080,Yes
370,15.432,10.9,1080,Yes
371,15.474,40.5,1080,Yes
372,15.515,78.5,1080,Yes
373,15.557,211.4,1080,Yes
374,15.599,274.9,1080,Yes
375,15.641,230.1,1080,Yes
376,15.682,162.6,1080,Yes
377,15.724,55.3,1080,Yes
378,15.766,11.9,1080,Yes
379,15.807,51.2,1080,Yes
380,15.849,122.3,1080,Yes
381,15.891,252.0,1080,Yes
382,15.933,273.7,1080,Yes
383,15.974,239.8,1080,Yes
384,16.016,167.6,1080,Yes
385,16.058,44.8,1080,Yes
386,16.099,3.2,1080,Yes
387,16.141,0.5,1080,Yes
388,16.183,66.7,1080,Yes
389,16.225,136.9,1080,Yes
390,16.266,244.2,1080,Yes
391,16.308,273.1,1080,Yes
392,16.350,205.3,1080,Yes
393,16.391,58.2,1080,Yes
394,16.433,24.3,1080,Yes
395,16.475,19.7,1080,Yes
396,16.516,42.9,1080,Yes
397,16.558,156.5,1080,Yes
398,16.600,220.5,1080,Yes
399,16.642,257.5,1080,Yes
400,16.683,199.5,1080,Yes
401,16.725,71.0,1080,Yes
402,16.767,10.7,1080,Yes
403,16.808,24.8,1080,Yes
404,16.850,25.6,1080,Yes
405,16.892,74.7,1080,Yes
406,16.934,195.0,1080,Yes
407,16.975,247.2,1080,Yes
408,17.017,201.2,1080,Yes
409,17.059,103.6,1080,Yes
410,17.100,4.2,1080,Yes
411,17.142,26.2,1080,Yes
412,17.184,10.9,1080,Yes
413,17.226,244.5,1080,Yes
414,17.267,203.0,1080,Yes
415,17.309,252.9,1080,Yes
416,17.351,222.2,1080,Yes
417,17.392,118.3,1080,Yes
418,17.434,29.9,1080,Yes
419,17.476,2.9,1080,Yes
420,17.517,19.5,1080,Yes
421,17.559,82.8,1080,Yes
422,17.601,184.8,1080,Yes
423,17.643,262.0,1080,Yes
424,17.684,257.7,1080,Yes
425,17.726,139.2,1080,Yes
426,17.768,188.0,1080,Yes
427,17.809,26.0,1080,Yes
428,17.851,15.7,1080,Yes
429,17.893,109.1,1080,Yes
430,17.935,159.3,1080,Yes
431,17.976,201.0,1080,Yes
432,18.018,224.2,1080,Yes
433,18.060,166.0,1080,Yes
434,18.101,54.4,1080,Yes
435,18.143,3.8,1080,Yes
436,18.185,1.9,1080,Yes
437,18.227,60.8,1080,Yes
438,18.268,140.1,1080,Yes
439,18.310,240.5,1080,Yes
440,18.352,271.0,1080,Yes
441,18.393,203.9,1080,Yes
442,18.435,222.7,1080,Yes
443,18.477,1.7,1080,Yes
444,18.518,1.1,1080,Yes
445,18.560,85.5,1080,Yes
446,18.602,220.0,1080,Yes
447,18.644,259.4,1080,Yes
448,18.685,274.5,1080,Yes
449,18.727,203.2,1080,Yes
450,18.769,79.1,1080,Yes
451,18.810,17.7,1080,Yes
452,18.852,6.9,1080,Yes
453,18.894,67.5,1080,Yes
454,18.936,132.2,1080,Yes
455,18.977,237.7,1080,Yes
456,19.019,275.7,1080,Yes
457,19.061,259.2,1080,Yes
458,19.102,104.2,1080,Yes
459,19.144,6.1,1080,Yes
460,19.186,22.2,1080,Yes
461,19.228,39.1,1080,Yes
462,19.269,124.0,1080,Yes
463,19.311,249.3,1080,Yes
464,19.353,266.1,1080,Yes
465,19.394,202.4,1080,Yes
466,19.436,94.7,1080,Yes
467,19.478,14.7,1080,Yes
468,19.519,23.7,1080,Yes
469,19.561,12.2,1080,Yes
470,19.603,76.0,1080,Yes
471,19.645,184.9,1080,Yes
472,19.686,254.3,1080,Yes
473,19.728,186.1,1080,Yes
474,19.770,113.7,1080,Yes
475,19.811,175.2,1080,Yes
476,19.853,3.8,1080,Yes
477,19.895,27.1,1080,Yes
478,19.937,102.6,1080,Yes
479,19.978,231.2,1080,Yes
480,20.020,267.4,1080,Yes
481,20.062,212.1,1080,Yes
482,20.103,127.9,1080,Yes
483,20.145,23.6,1080,Yes
484,20.187,23.7,1080,Yes
485,20.229,17.8,1080,Yes
486,20.270,57.4,1080,Yes
487,20.312,150.3,1080,Yes
488,20.354,233.4,1080,Yes
489,20.395,268.8,1080,Yes
490,20.437,148.4,1080,Yes
491,20.479,39.8,1080,Yes
492,20.520,30.3,1080,Yes
493,20.562,20.5,1080,Yes
494,20.604,61.3,1080,Yes
495,20.646,209.3,1080,Yes
496,20.687,238.7,1080,Yes
497,20.729,252.2,1080,Yes
498,20.771,182.9,1080,Yes
499,20.812,70.5,1080,Yes
500,20.854,5.7,1080,Yes
501,20.896,14.2,1080,Yes
502,20.938,49.6,1080,Yes
503,20.979,66.8,1080,Yes
504,21.021,211.7,1080,Yes
505,21.063,270.1,1080,Yes
506,21.104,193.9,1080,Yes
507,21.146,89.6,1080,Yes
508,21.188,3.2,1080,Yes
509,21.230,19.6,1080,Yes
510,21.271,45.6,1080,Yes
511,21.313,180.9,1080,Yes
512,21.355,223.1,1080,Yes
513,21.396,267.0,1080,Yes
514,21.438,212.3,1080,Yes
515,21.480,114.2,1080,Yes
516,21.521,15.0,1080,Yes
517,21.563,11.1,1080,Yes
518,21.605,16.8,1080,Yes
519,21.647,81.0,1080,Yes
520,21.688,174.2,1080,Yes
521,21.730,251.7,1080,Yes
522,21.772,245.8,1080,Yes
523,21.813,142.9,1080,Yes
524,21.855,40.3,1080,Yes
525,21.897,8.8,1080,Yes
526,21.939,5.2,1080,Yes
527,21.980,83.6,1080,Yes
528,22.022,209.5,1080,Yes
529,22.064,250.7,1080,Yes
530,22.105,260.1,1080,Yes
531,22.147,189.4,1080,Yes
532,22.189,52.3,1080,Yes
533,22.231,8.1,1080,Yes
534,22.272,13.4,1080,Yes
535,22.314,41.9,1080,Yes
536,22.356,68.4,1080,Yes
537,22.397,199.0,1080,Yes
538,22.439,243.3,1080,Yes
539,22.481,166.6,1080,Yes
540,22.522,73.7,1080,Yes
541,22.564,14.4,1080,Yes
542,22.606,29.5,1080,Yes
543,22.648,24.6,1080,Yes
544,22.689,86.8,1080,Yes
545,22.731,210.9,1080,Yes
546,22.773,246.5,1080,Yes
547,22.814,182.2,1080,Yes
548,22.856,96.7,1080,Yes
549,22.898,2.7,1080,Yes
550,22.940,25.7,1080,Yes
551,22.981,8.5,1080,Yes
552,23.023,69.7,1080,Yes
553,23.065,169.9,1080,Yes
554,23.106,241.1,1080,Yes
555,23.148,233.7,1080,Yes
556,23.190,126.4,1080,Yes
557,23.232,30.4,1080,Yes
558,23.273,19.4,1080,Yes
559,23.315,15.6,1080,Yes
560,23.357,91.1,1080,Yes
561,23.398,248.5,1080,Yes
562,23.440,271.4,1080,Yes
563,23.482,247.5,1080,Yes
564,23.523,169.4,1080,Yes
565,23.565,55.1,1080,Yes
566,23.607,2.3,1080,Yes
567,23.649,3.3,1080,Yes
568,23.690,74.9,1080,Yes
569,23.732,149.2,1080,Yes
570,23.774,242.1,1080,Yes
571,23.815,275.8,1080,Yes
572,23.857,189.6,1080,Yes
573,23.899,92.3,1080,Yes
574,23.941,12.4,1080,Yes
575,23.982,1.7,1080,Yes
576,24.024,66.4,1080,Yes
577,24.066,197.1,1080,Yes
578,24.107,227.3,1080,Yes
579,24.149,248.9,1080,Yes
580,24.191,199.3,1080,Yes
581,24.233,93.6,1080,Yes
582,24.274,2.2,1080,Yes
583,24.316,16.7,1080,Yes
584,24.358,36.4,1080,Yes
585,24.399,49.1,1080,Yes
586,24.441,203.1,1080,Yes
587,24.483,263.1,1080,Yes
588,24.524,197.2,1080,Yes
589,24.566,116.8,1080,Yes
590,24.608,19.2,1080,Yes
591,24.650,11.5,1080,Yes
592,24.691,33.0,1080,Yes
593,24.733,183.7,1080,Yes
594,24.775,231.4,1080,Yes
595,24.816,278.8,1080,Yes
596,24.858,229.0,1080,Yes
597,24.900,139.0,1080,Yes
598,24.942,30.2,1080,Yes
599,24.983,11.5,1080,Yes
600,25.025,4.4,1080,Yes
601,25.067,78.9,1080,Yes
602,25.108,161.7,1080,Yes
603,25.150,247.4,1080,Yes
604,25.192,267.8,1080,Yes
605,25.234,177.5,1080,Yes
606,25.275,69.0,1080,Yes
607,25.317,0.9,1080,Yes
608,25.359,5.2,1080,Yes
609,25.400,79.9,1080,Yes
610,25.442,275.1,1080,Yes
611,25.484,262.3,1080,Yes
612,25.525,270.6,1080,Yes
613,25.567,208.9,1080,Yes
614,25.609,75.6,1080,Yes
615,25.651,7.6,1080,Yes
616,25.692,3.3,1080,Yes
617,25.734,60.3,1080,Yes
618,25.776,79.7,1080,Yes
619,25.817,229.2,1080,Yes
620,25.859,280.5,1080,Yes
621,25.901,221.9,1080,Yes
622,25.943,132.6,1080,Yes
623,25.984,22.2,1080,Yes
624,26.026,2.4,1080,Yes
625,26.068,56.4,1080,Yes
626,26.109,178.0,1080,Yes
627,26.151,233.8,1080,Yes
628,26.193,255.7,1080,Yes
629,26.235,229.7,1080,Yes
630,26.276,137.4,1080,Yes
631,26.318,32.7,1080,Yes
632,26.360,3.3,1080,Yes
633,26.401,19.2,1080,Yes
634,26.443,87.4,1080,Yes
635,26.485,198.8,1080,Yes
636,26.526,269.0,1080,Yes
637,26.568,283.8,1080,Yes
638,26.610,196.2,1080,Yes
639,26.652,61.0,1080,Yes
640,26.693,3.9,1080,Yes
641,26.735,5.6,1080,Yes
642,26.777,97.6,1080,Yes
643,26.818,214.4,1080,Yes
